group,x,y,prior
data,-36,9.286976852710803e-11,"N(0, 50)"
data,-36,9.286976852710803e-11,"N(0, 10)"
data,-35,2.0078933100992738e-10,"Uniform(-Inf, Inf)"
data,-35,2.0078933100992738e-10,"N(-50, 10)"
data,-35,2.0078933100992738e-10,"N(-50, 50)"
data,-35,2.0078933100992738e-10,"N(0, 50)"
data,-35,2.0078933100992738e-10,"N(0, 10)"
data,-34,4.276145398404247e-10,"Uniform(-Inf, Inf)"
data,-34,4.276145398404247e-10,"N(-50, 10)"
data,-34,4.276145398404247e-10,"N(-50, 50)"
data,-34,4.276145398404247e-10,"N(0, 50)"
data,-34,4.276145398404247e-10,"N(0, 10)"
data,-33,8.970359660745541e-10,"Uniform(-Inf, Inf)"
data,-33,8.970359660745541e-10,"N(-50, 10)"
data,-33,8.970359660745541e-10,"N(-50, 50)"
data,-33,8.970359660745541e-10,"N(0, 50)"
data,-33,8.970359660745541e-10,"N(0, 10)"
data,-32,1.8535862957974916e-9,"Uniform(-Inf, Inf)"
data,-32,1.8535862957974916e-9,"N(-50, 10)"
data,-32,1.8535862957974916e-9,"N(-50, 50)"
data,-32,1.8535862957974916e-9,"N(0, 50)"
data,-32,1.8535862957974916e-9,"N(0, 10)"
data,-31,3.772778643601337e-9,"Uniform(-Inf, Inf)"
data,-31,3.772778643601337e-9,"N(-50, 10)"
data,-31,3.772778643601337e-9,"N(-50, 50)"
data,-31,3.772778643601337e-9,"N(0, 50)"
data,-31,3.772778643601337e-9,"N(0, 10)"
data,-30,7.564067600863566e-9,"Uniform(-Inf, Inf)"
data,-30,7.564067600863566e-9,"N(-50, 10)"
data,-30,7.564067600863566e-9,"N(-50, 50)"
data,-30,7.564067600863566e-9,"N(0, 50)"
data,-30,7.564067600863566e-9,"N(0, 10)"
data,-29,1.493808888943918e-8,"Uniform(-Inf, Inf)"
data,-29,1.493808888943918e-8,"N(-50, 10)"
data,-29,1.493808888943918e-8,"N(-50, 50)"
data,-29,1.493808888943918e-8,"N(0, 50)"
data,-29,1.493808888943918e-8,"N(0, 10)"
data,-28,2.9058971473898658e-8,"Uniform(-Inf, Inf)"
data,-28,2.9058971473898658e-8,"N(-50, 10)"
data,-28,2.9058971473898658e-8,"N(-50, 50)"
data,-28,2.9058971473898658e-8,"N(0, 50)"
data,-28,2.9058971473898658e-8,"N(0, 10)"
data,-27,5.5681509364146936e-8,"Uniform(-Inf, Inf)"
data,-27,5.5681509364146936e-8,"N(-50, 10)"
data,-27,5.5681509364146936e-8,"N(-50, 50)"
data,-27,5.5681509364146936e-8,"N(0, 50)"
data,-27,5.5681509364146936e-8,"N(0, 10)"
data,-26,1.0509627449076617e-7,"Uniform(-Inf, Inf)"
data,-26,1.0509627449076617e-7,"N(-50, 10)"
data,-26,1.0509627449076617e-7,"N(-50, 50)"
data,-26,1.0509627449076617e-7,"N(0, 50)"
data,-26,1.0509627449076617e-7,"N(0, 10)"
data,-25,1.953930915914664e-7,"Uniform(-Inf, Inf)"
data,-25,1.953930915914664e-7,"N(-50, 10)"
data,-25,1.953930915914664e-7,"N(-50, 50)"
data,-25,1.953930915914664e-7,"N(0, 50)"
data,-25,1.953930915914664e-7,"N(0, 10)"
data,-24,3.578299182718826e-7,"Uniform(-Inf, Inf)"
data,-24,3.578299182718826e-7,"N(-50, 10)"
data,-24,3.578299182718826e-7,"N(-50, 50)"
data,-24,3.578299182718826e-7,"N(0, 50)"
data,-24,3.578299182718826e-7,"N(0, 10)"
data,-23,6.454902033379639e-7,"Uniform(-Inf, Inf)"
data,-23,6.454902033379639e-7,"N(-50, 10)"
data,-23,6.454902033379639e-7,"N(-50, 50)"
data,-23,6.454902033379639e-7,"N(0, 50)"
data,-23,6.454902033379639e-7,"N(0, 10)"
data,-22,1.1469598693840013e-6,"Uniform(-Inf, Inf)"
data,-22,1.1469598693840013e-6,"N(-50, 10)"
data,-22,1.1469598693840013e-6,"N(-50, 50)"
data,-22,1.1469598693840013e-6,"N(0, 50)"
data,-22,1.1469598693840013e-6,"N(0, 10)"
data,-21,2.007485197346297e-6,"Uniform(-Inf, Inf)"
data,-21,2.007485197346297e-6,"N(-50, 10)"
data,-21,2.007485197346297e-6,"N(-50, 50)"
data,-21,2.007485197346297e-6,"N(0, 50)"
data,-21,2.007485197346297e-6,"N(0, 10)"
data,-20,3.461003526272288e-6,"Uniform(-Inf, Inf)"
data,-20,3.461003526272288e-6,"N(-50, 10)"
data,-20,3.461003526272288e-6,"N(-50, 50)"
data,-20,3.461003526272288e-6,"N(0, 50)"
data,-20,3.461003526272288e-6,"N(0, 10)"
data,-19,5.877563005795998e-6,"Uniform(-Inf, Inf)"
data,-19,5.877563005795998e-6,"N(-50, 10)"
data,-19,5.877563005795998e-6,"N(-50, 50)"
data,-19,5.877563005795998e-6,"N(0, 50)"
data,-19,5.877563005795998e-6,"N(0, 10)"
data,-18,9.831914795741307e-6,"Uniform(-Inf, Inf)"
data,-18,9.831914795741307e-6,"N(-50, 10)"
data,-18,9.831914795741307e-6,"N(-50, 50)"
data,-18,9.831914795741307e-6,"N(0, 50)"
data,-18,9.831914795741307e-6,"N(0, 10)"
data,-17,1.6200353103844823e-5,"Uniform(-Inf, Inf)"
data,-17,1.6200353103844823e-5,"N(-50, 10)"
data,-17,1.6200353103844823e-5,"N(-50, 50)"
data,-17,1.6200353103844823e-5,"N(0, 50)"
data,-17,1.6200353103844823e-5,"N(0, 10)"
